HRV Method,IBI Info,,Time Domain,,,,,,,,,,,,,,Freq Domain: Welch,,,,,,,,,,,,,Freq Domain: AR,,,,,,,,,,,,,Freq Domain: LS,,,,,,,,,,,,,Poincare,,Nonlinear,,,,Time-Freq: AR,,,,,,,,,,,,,,Time-Freq: Lomb,,,,,,,,,,,,,,Time-Freq: Wavelet,,,,,,,,,,,,,
HRV Variable,ibi,outliers,max,min,mean,median,SDNN,SDANN,NNx,pNNx,RMSSD,SDNNi,meanHR,sdHR,HRVTi,TINN,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,SD1,SD2,sampen,alpha,alpha1,alpha2,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF
Subject,(count),(count),(ms),(ms),(ms),(ms),(ms),(ms),(count),(%),(ms),(ms),(bpm),(bpm),(ms),(ms),(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),(ms),(ms),,,,,(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),,(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),,(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),
20161114_S1644655F_trim_AC,1744,466,744,216,611,624,65.2,57.2,133,10.4,82.2,163.6,100.3,20,2.3,66,1131.38,2258.09,2421.77,5811.24,19.5,38.9,41.7,0.483,0.517,0.932,0.02,0.09,0.22,432.45,851.62,823.5,2107.57,20.5,40.4,39.1,0.508,0.492,1.034,0.03,0.04,0.23,0.005,0.012,0.021,0.038,13.2,32.5,54.3,0.374,0.626,0.598,0.02,0.1,0.39,58.1,71.6,0.589,0.697,0.752,0.679,411.91,1007.31,862.56,2281.78,18.1,44.1,37.8,0.539,0.461,1.168,0.04,0.05,0.22,1.5,1.62,3.7,6.8,12.12,13.4,30.5,56.1,0.352,0.648,0.544,0.02,0.12,0.22,0,1696.02,4261.65,4554.99,10512.67,16.1,40.5,43.3,0.483,0.517,0.936,0.02,0.04,0.16,219
20161115_S0265940I_trim_TM,1342,377,808,212,721,732,75.3,31.2,70,7.3,74.9,213,85,17.2,3,111.8,1546.6,3113.33,891.76,5551.69,27.9,56.1,16.1,0.777,0.223,3.491,0.02,0.04,0.16,199.84,430.57,211.78,842.18,23.7,51.1,25.1,0.67,0.33,2.033,0.04,0.05,0.15,0.006,0.01,0.018,0.033,17.3,29.3,53.4,0.354,0.646,0.548,0.03,0.1,0.24,53,92.4,0.968,0.676,0.925,0.582,200.64,430.57,211.81,843.02,23.8,51.1,25.1,0.67,0.33,2.033,0.04,0.05,0.15,Inf,0.89,2.02,3.13,6.04,14.8,33.4,51.8,0.392,0.608,0.644,0.02,0.11,0.21,0,2423.34,6931.99,2852.99,12208.31,19.8,56.8,23.4,0.708,0.292,2.43,0.02,0.04,0.24,Inf
20161115_S0265940I_trim_AC,1079,134,928,348,813.4,824,66.1,34,46,4.9,62.6,226.4,74.7,11.2,2.4,90.6,1248.85,1151.26,743.58,3143.7,39.7,36.6,23.7,0.608,0.392,1.548,0.01,0.08,0.17,114.03,94.55,79.83,288.41,39.5,32.8,27.7,0.542,0.458,1.184,0,0.04,0.16,0.009,0.006,0.015,0.03,28.8,21.5,49.8,0.301,0.699,0.431,0.03,0.06,0.2,44.3,82.3,0.958,0.87,0.707,0.867,479.02,354.99,358.06,1192.07,40.2,29.8,30,0.498,0.502,0.991,0,0.04,0.17,1,3.61,2.12,6.14,11.87,30.4,17.8,51.7,0.257,0.743,0.345,0.01,0.06,0.2,0,1662.3,3814.98,2467.07,7944.36,20.9,48,31.1,0.607,0.393,1.546,0.03,0.06,0.15,Inf
20161128_S1722703C_trim_TM,1448,29,832,512,624.7,580,100.4,18.4,0,0,10.3,193.9,98.4,15,5.1,40,190.86,64.1,19.86,274.82,69.4,23.3,7.2,0.763,0.237,3.227,0.02,0.06,0.16,62.77,33.58,7.68,104.03,60.3,32.3,7.4,0.814,0.186,4.37,0,0.04,0.15,0.01,0.003,0.001,0.014,68.3,24.6,7.1,0.777,0.223,3.489,0.02,0.06,0.19,7.3,141.9,0.476,1.355,1.189,1.412,62.78,33.58,7.68,104.04,60.3,32.3,7.4,0.814,0.186,4.37,0,0.04,0.15,Inf,0.64,0.24,0.07,0.95,67.5,24.9,7.6,0.767,0.233,3.287,0.02,0.05,0.15,3,237.39,128.69,40.05,406.13,58.5,31.7,9.9,0.763,0.237,3.214,0.02,0.04,0.32,Inf
20161128_S1722703C_trim_SC,1549,19,692,508,582.3,584,37.3,10.4,2,0.1,7,155.2,103.5,6.7,5,40.3,38.61,18.17,9.11,65.89,58.6,27.6,13.8,0.666,0.334,1.994,0.02,0.09,0.17,15.31,8.29,3.1,26.7,57.3,31,11.6,0.728,0.272,2.671,0,0.04,0.39,0.01,0.005,0.003,0.018,57.1,27.6,15.4,0.642,0.358,1.791,0.04,0.05,0.38,5,52.6,1.442,1.291,0.946,1.344,16.22,8.82,3.61,28.65,56.6,30.8,12.6,0.71,0.29,2.446,0,0.04,0.15,Inf,0.13,0.07,0.03,0.23,57.1,29,13.8,0.677,0.323,2.096,0.02,0.05,0.27,Inf,61.43,39.11,17.32,117.85,52.1,33.2,14.7,0.693,0.307,2.259,0.02,0.09,0.26,Inf
20161128_S1722703C_trim_AC,1578,88,932,532,656.1,660,50.7,17.2,11,0.7,11.3,166.6,92,7,7.7,225,175.57,183.75,28.95,388.27,45.2,47.3,7.5,0.864,0.136,6.346,0.01,0.09,0.16,68.85,48.88,15.03,132.76,51.9,36.8,11.3,0.765,0.235,3.252,0,0.04,0.29,0.011,0.009,0.002,0.023,48.8,41.4,9.8,0.809,0.191,4.229,0.04,0.04,0.2,8,71.3,0.655,1.231,1.527,1.13,62.07,57.65,11.16,130.88,47.4,44.1,8.5,0.838,0.162,5.167,0,0.05,0.39,Inf,0.43,0.34,0.09,0.85,50.5,39.6,10,0.799,0.201,3.964,0.01,0.04,0.15,Inf,245.09,381.45,57.37,683.91,35.8,55.8,8.4,0.869,0.131,6.649,0.02,0.04,0.28,Inf
20161202_S0137033B_trim_SC,1533,1,612,560,587,588,9.2,7.1,0,0,6,5.6,102.2,1.6,5.4,6.5,16.69,7.5,3.18,27.37,61,27.4,11.6,0.702,0.298,2.358,0.02,0.05,0.38,8.33,3.52,1.2,13.04,63.8,27,9.2,0.746,0.254,2.942,0,0.04,0.4,0.01,0.003,0.002,0.015,66.5,22.2,11.3,0.662,0.338,1.955,0.02,0.07,0.38,4.2,12.2,1.428,1.232,0.814,1.323,6.33,3.18,1.3,10.81,58.6,29.4,12,0.71,0.29,2.451,0,0.04,0.4,Inf,0.06,0.03,0.01,0.1,61,26.4,12.6,0.677,0.323,2.1,0.02,0.05,0.4,Inf,28.06,16.33,6.78,51.17,54.8,31.9,13.3,0.707,0.293,2.409,0.02,0.04,0.4,Inf
20161202_S0137033B_trim_IR,1755,53,624,508,533.1,528,20.6,8.3,0,0,8.3,134.4,112.7,4.1,6.6,36.3,5.45,2.49,2.24,10.18,53.5,24.5,22,0.526,0.474,1.11,0.02,0.04,0.38,2.86,1.06,0.9,4.83,59.3,22,18.7,0.54,0.46,1.173,0,0.04,0.4,0.008,0.002,0.003,0.012,62.2,17.1,20.8,0.451,0.549,0.82,0.02,0.06,0.39,5.8,28.6,1.78,1.085,0.416,1.426,2,0.96,0.96,3.91,51.1,24.4,24.5,0.5,0.5,0.999,0,0.04,0.4,1.5,0.02,0.01,0.01,0.03,58.7,22.9,18.4,0.555,0.445,1.246,0.02,0.04,0.38,4,11.79,8.27,6.96,27.02,43.6,30.6,25.8,0.543,0.457,1.189,0.02,0.06,0.4,Inf
20161202_S1327247F_trim_TM,1331,142,764,320,578.5,572,32,19.1,37,3.1,26.4,168.3,104.1,6.5,3.5,97.1,376.15,630.1,133.21,1139.46,33,55.3,11.7,0.825,0.175,4.73,0.02,0.07,0.24,73.68,130.06,30.6,234.34,31.4,55.5,13.1,0.81,0.19,4.251,0.04,0.04,0.15,0.009,0.011,0.014,0.035,25.9,32.8,41.3,0.443,0.557,0.794,0.02,0.04,0.17,18.6,41.2,1.873,0.769,0.715,0.801,145.87,290.08,57.18,493.13,29.6,58.8,11.6,0.835,0.165,5.073,0,0.06,0.15,Inf,0.19,0.28,0.35,0.82,22.8,34,43.2,0.441,0.559,0.788,0.02,0.1,0.19,0.5,454.33,1284.11,476.23,2214.67,20.5,58,21.5,0.729,0.271,2.696,0.02,0.04,0.25,198.9333
20161202_S1327247F_trim_SC,728,9,620,504,552.4,548,19.9,11.7,0,0,10.5,210.2,108.8,3.9,11.8,87,65.17,35.3,12.73,113.2,57.6,31.2,11.2,0.735,0.265,2.773,0.02,0.08,0.16,25.8,15.54,5.4,46.74,55.2,33.3,11.6,0.742,0.258,2.876,0,0.04,0.15,0.005,0.004,0.001,0.01,54.1,34.9,11,0.761,0.239,3.182,0.02,0.08,0.16,7.5,27.1,2.041,1.058,0.873,1.052,25.76,15.54,5.4,46.71,55.2,33.3,11.6,0.742,0.258,2.876,0,0.04,0.15,Inf,0.18,0.13,0.05,0.35,49.4,36,14.6,0.712,0.288,2.468,0.02,0.08,0.16,Inf,99.37,83.55,30.03,212.95,46.7,39.2,14.1,0.736,0.264,2.782,0.02,0.05,0.23,Inf
