HRV Method,IBI Info,,Time Domain,,,,,,,,,,,,,,Freq Domain: Welch,,,,,,,,,,,,,Freq Domain: AR,,,,,,,,,,,,,Freq Domain: LS,,,,,,,,,,,,,Poincare,,Nonlinear,,,,Time-Freq: AR,,,,,,,,,,,,,,Time-Freq: Lomb,,,,,,,,,,,,,,Time-Freq: Wavelet,,,,,,,,,,,,,
HRV Variable,ibi,outliers,max,min,mean,median,SDNN,SDANN,NNx,pNNx,RMSSD,SDNNi,meanHR,sdHR,HRVTi,TINN,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,SD1,SD2,sampen,alpha,alpha1,alpha2,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF
Subject,(count),(count),(ms),(ms),(ms),(ms),(ms),(ms),(count),(%),(ms),(ms),(bpm),(bpm),(ms),(ms),(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),(ms),(ms),,,,,(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),,(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),,(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),
20161202_S1327247F_trim_AC,1710,778,728,188,511.4,524,84.2,67.6,195,20.9,91.1,183.7,122.6,33.3,4.8,135,2537.56,5665.54,2975.54,11178.65,22.7,50.7,26.6,0.656,0.344,1.904,0.02,0.08,0.19,1169.94,3047.6,1409.29,5626.84,20.8,54.2,25,0.684,0.316,2.163,0.04,0.07,0.15,0.008,0.025,0.047,0.08,10,31.2,58.8,0.347,0.653,0.531,0.04,0.06,0.19,64.5,100.1,0.532,0.689,0.797,0.675,1036.36,2597.65,1323.55,4957.56,20.9,52.4,26.7,0.662,0.338,1.963,0.04,0.07,0.15,3,2.75,7.74,14.36,24.85,11.1,31.2,57.8,0.35,0.65,0.54,0.02,0.08,0.21,0,3584.65,10560.79,6039.01,20184.45,17.8,52.3,29.9,0.636,0.364,1.749,0.02,0.08,0.15,65.3191
20161205_S0196347C_trim_TM,1099,32,856,732,799.7,800,19.8,12.6,0,0,13.4,207,75.1,1.9,11.1,85.3,88.98,28.28,19.02,136.28,65.3,20.8,14,0.598,0.402,1.487,0.01,0.05,0.38,22.16,12.52,7.19,41.86,52.9,29.9,17.2,0.635,0.365,1.742,0,0.04,0.4,0.011,0.004,0.003,0.017,62.1,22.1,15.8,0.584,0.416,1.403,0.01,0.05,0.36,9.5,26.4,1.981,1.266,0.795,1.413,30.18,12.01,7.59,49.79,60.6,24.1,15.3,0.613,0.387,1.582,0,0.04,0.4,Inf,0.29,0.1,0.07,0.46,62.3,22.2,15.5,0.588,0.412,1.429,0.01,0.05,0.38,Inf,93.3,55.33,45.08,193.71,48.2,28.6,23.3,0.551,0.449,1.227,0.02,0.04,0.4,Inf
20161205_S0196347C_trim_SC,1050,48,980,740,812.1,812,19.4,14.6,4,0.4,18.7,217.4,73.9,1.7,5.8,90,103.25,111.32,69.02,283.59,36.4,39.3,24.3,0.617,0.383,1.613,0.02,0.06,0.16,30.32,15.5,12.6,58.41,51.9,26.5,21.6,0.552,0.448,1.23,0,0.04,0.4,0.006,0.003,0.003,0.013,47.6,26.4,26,0.503,0.497,1.013,0.02,0.06,0.38,13.2,24,2.47,1.034,0.774,1.148,30.31,15.5,12.6,58.4,51.9,26.5,21.6,0.552,0.448,1.23,0,0.04,0.4,Inf,0.27,0.11,0.16,0.54,49.6,21.3,29.1,0.423,0.577,0.732,0.02,0.06,0.38,0.33333,159.07,206.39,139.54,505,31.5,40.9,27.6,0.597,0.403,1.479,0.02,0.06,0.15,Inf
20161205_S0196347C_trim_AC,1062,136,956,364,824.9,824,55.2,32.6,16,1.7,48.5,230.8,73.2,8.1,4.4,166.5,3920.2,2708.54,511.94,7140.68,54.9,37.9,7.2,0.841,0.159,5.291,0.02,0.1,0.17,2223.48,2224.48,391.7,4839.66,45.9,46,8.1,0.85,0.15,5.679,0,0.04,0.15,0.012,0.01,0.019,0.041,28.8,24.6,46.6,0.346,0.654,0.528,0.02,0.13,0.22,34.3,70.1,1.247,0.863,0.921,0.828,1695.07,1460.37,266.81,3422.26,49.5,42.7,7.8,0.846,0.154,5.473,0,0.04,0.15,Inf,3.23,3.26,6.13,12.62,25.6,25.8,48.6,0.347,0.653,0.532,0.02,0.13,0.22,0.33333,3680.47,5242.97,1035.68,9959.12,37,52.6,10.4,0.835,0.165,5.062,0.02,0.09,0.15,Inf
20161206_S0213038F_trim_TM,1342,76,660,508,602.2,600,17.5,14.6,52,4.1,23.5,166.8,99.7,3,7,66.5,21.04,52.79,82.53,156.36,13.5,33.8,52.8,0.39,0.61,0.64,0.01,0.08,0.27,6.14,17.08,31.73,54.95,11.2,31.1,57.7,0.35,0.65,0.538,0,0.13,0.4,0.004,0.006,0.014,0.023,16.6,24,59.3,0.288,0.712,0.405,0.03,0.05,0.34,16.6,18.4,2.26,0.64,0.438,0.763,7.82,20.11,33.32,61.25,12.8,32.8,54.4,0.376,0.624,0.603,0,0.1,0.4,0,0.04,0.08,0.14,0.26,17.2,28.8,54,0.348,0.652,0.535,0.01,0.06,0.34,0,28.31,101.78,168.8,298.89,9.5,34.1,56.5,0.376,0.624,0.603,0.03,0.07,0.25,94.1765
20161206_S0213038F_trim_SC,1176,47,732,536,663.7,668,22.3,18,68,6,28.9,184.7,90.5,3.2,5.9,73.5,27.78,83.87,172.44,284.09,9.8,29.5,60.7,0.327,0.673,0.486,0.02,0.11,0.22,10.47,38.77,69.28,118.52,8.8,32.7,58.5,0.359,0.641,0.56,0.04,0.1,0.4,0.004,0.007,0.018,0.029,13.3,24.5,62.2,0.282,0.718,0.393,0.01,0.05,0.37,20.4,24,2.263,0.649,0.424,0.792,10.47,38.77,69.28,118.52,8.8,32.7,58.5,0.359,0.641,0.56,0.04,0.1,0.4,0,0.08,0.13,0.29,0.49,15.7,26.1,58.2,0.309,0.691,0.448,0.02,0.07,0.35,0,49.39,204.62,359.23,613.24,8.1,33.4,58.6,0.363,0.637,0.57,0.02,0.05,0.18,134.6087
20161206_S0213038F_trim_AC,1370,85,816,536,678.2,680,28.5,19,94,7.3,26.9,176,88.6,3.9,4.2,52.5,65.83,134.03,203.01,402.87,16.3,33.3,50.4,0.398,0.602,0.66,0.02,0.07,0.18,21.59,53.83,79.58,154.99,13.9,34.7,51.3,0.403,0.597,0.676,0.04,0.04,0.25,0.008,0.01,0.017,0.036,22.9,28.6,48.4,0.371,0.629,0.59,0.02,0.06,0.15,19,35.6,1.892,0.809,0.674,0.888,23.29,53.63,79.78,156.7,14.9,34.2,50.9,0.402,0.598,0.672,0,0.04,0.15,0,0.16,0.2,0.39,0.75,21.1,27.1,51.9,0.343,0.657,0.522,0.02,0.14,0.15,0,114.55,298.23,405.4,818.17,14,36.5,49.5,0.424,0.576,0.736,0.04,0.07,0.15,Inf
20161212_S0575181J_trim_SC,1256,118,648,408,566,572,30.1,23.5,171,15,34.4,170.3,106.4,6.4,4.9,60,91.87,214.11,432.72,738.7,12.4,29,58.6,0.331,0.669,0.495,0.02,0.05,0.23,59.68,79.44,222.33,361.45,16.5,22,61.5,0.263,0.737,0.357,0,0.04,0.21,0.004,0.007,0.021,0.032,11.8,22.2,66,0.251,0.749,0.336,0.02,0.05,0.23,24.3,34.9,1.821,0.636,0.658,0.691,47.6,70.05,195.2,312.85,15.2,22.4,62.4,0.264,0.736,0.359,0,0.04,0.22,0,0.13,0.24,0.76,1.13,11.6,21.1,67.4,0.238,0.762,0.313,0.02,0.05,0.23,0,183.93,530.71,831.17,1545.81,11.9,34.3,53.8,0.39,0.61,0.639,0.02,0.05,0.22,109.7308
20161212_S0575181J_trim_AC,1031,209,680,432,600.4,604,41.1,32.2,234,28.5,50.7,201.6,100.4,7.5,6,62,146.06,369.61,715.47,1231.15,11.9,30,58.1,0.341,0.659,0.517,0.02,0.1,0.17,67.35,155.66,305.16,528.17,12.8,29.5,57.8,0.338,0.662,0.51,0,0.04,0.19,0.003,0.006,0.014,0.023,12.7,26.1,61.3,0.299,0.701,0.426,0.02,0.05,0.37,35.8,45.7,0.886,0.701,0.568,0.781,67.36,155.66,305.16,528.18,12.8,29.5,57.8,0.338,0.662,0.51,0,0.04,0.19,0,0.26,0.57,1.22,2.05,12.5,27.9,59.6,0.318,0.682,0.467,0.02,0.05,0.37,0,197.15,692.8,1368.02,2257.98,8.7,30.7,60.6,0.336,0.664,0.506,0.02,0.05,0.17,16.2397
20161212_S1207538C_trim_TM,1393,34,788,352,626.7,624,19.4,9.3,5,0.4,17.1,162.2,95.8,3.3,2.4,68.1,125.74,464.83,28.09,618.67,20.3,75.1,4.5,0.943,0.057,16.545,0.03,0.1,0.2,50.99,197.21,15.56,263.76,19.3,74.8,5.9,0.927,0.073,12.673,0.04,0.09,0.15,0.007,0.007,0.007,0.021,32.7,34,33.3,0.505,0.495,1.021,0.01,0.11,0.19,12.1,24.6,1.803,0.9,0.509,1.008,56.73,220.22,15.98,292.92,19.4,75.2,5.5,0.932,0.068,13.783,0.04,0.09,0.37,Inf,0.13,0.12,0.14,0.39,33.6,31,35.4,0.467,0.533,0.875,0.02,0.11,0.35,1,190.38,676,73.88,940.26,20.2,71.9,7.9,0.901,0.099,9.15,0.02,0.1,0.15,Inf
20161212_S1207538C_trim_SC,1290,11,728,616,653.2,652,17.3,10.5,1,0.1,9,13.9,91.9,2.4,11.3,80.5,32.92,30.74,11.32,74.98,43.9,41,15.1,0.731,0.269,2.716,0.02,0.05,0.39,11.02,12.07,5.18,28.26,39,42.7,18.3,0.7,0.3,2.332,0.04,0.04,0.34,0.01,0.011,0.004,0.025,40,45,14.9,0.751,0.249,3.016,0.02,0.04,0.29,6.4,23.6,1.833,1.107,0.978,1.049,11.02,12.07,5.18,28.26,39,42.7,18.3,0.7,0.3,2.332,0.04,0.04,0.34,Inf,0.13,0.09,0.04,0.25,49.3,36.7,14.1,0.722,0.278,2.601,0.01,0.04,0.39,Inf,53.31,67.94,21.61,142.86,37.3,47.6,15.1,0.759,0.241,3.144,0.02,0.04,0.4,Inf
20161212_S1207538C_trim_AC,1188,33,756,556,661.2,660,22.9,12,10,0.9,12.5,184.3,90.8,3.1,6.6,118.8,58.56,34.7,19.97,113.23,51.7,30.6,17.6,0.635,0.365,1.737,0.02,0.06,0.35,20.4,15.02,4.62,40.04,50.9,37.5,11.5,0.765,0.235,3.248,0,0.04,0.27,0.01,0.006,0.004,0.02,51.8,28.6,19.7,0.593,0.407,1.454,0.02,0.05,0.27,8.8,31.2,2.005,1.186,0.921,1.221,19.44,16.62,8.09,44.14,44,37.6,18.3,0.673,0.327,2.055,0,0.04,0.34,Inf,0.19,0.12,0.05,0.36,53.2,32.6,14.3,0.695,0.305,2.282,0.02,0.04,0.16,Inf,103.16,84.35,58.91,246.42,41.9,34.2,23.9,0.589,0.411,1.432,0.02,0.04,0.31,128.8333
